suppressed,malaria_eliminated,num_fertile_females,adult_total_numbers,adult_female,wt,dr,r1,r2,carrier_mos_frequency,healthy_mosquito,carrier_mosquito,carrier_mosquito2,patient_mosquito,healthy_human,carrier_human,patient_human,resistant_human,chasing,chasing_start,chasing_end,avg_pop_during_chase,fertile_female_average,simulation_end,transmission rate to mosquitoes,transmission rate to humans,average dispersal,weekly remating chance,mosquito reproduction chance,animal biting rate,viability fitness,female fecundity fitness,germline resistance rate,drive conversion efficiency,embryo resistance rate,functional resistance proportion,low-density growth rate,seasonal population change,infection duration,immunity duration,density_num_adult_female,human_density,sim_bound,malaria_prevalence,mosquito_prev,ID
0.0,0.1,73616.9,126877.7,73623.5,51.4,376.5,338321.7,1923.6,375.4,72093.1,0.0,425.4,1105.0,2954.7,259.4,1063.0,522.9,1.0,242.8,600.0,106662.5848040256,46295.8800489664,600.0,0.08499999999999999,0.295,0.12369999999999999,0.5940000000000001,0.737,0.892,0.9369999999999999,0.7649999999999999,0.0078,0.975,0.376,0.000183,16.0,0.5999999999999999,12.0,9.0,3000.0,300.0,4.0,0.27549999999999997,1.0,2458.0
0.0,0.0,71147.3,122772.0,71157.1,1074.2,91.3,326890.4,1924.3,90.8,65752.9,0.0,1468.1,3936.1,1141.4,401.6,2310.0,947.0,1.0,161.6,599.4,97134.86415460604,40354.383310631434,600.0,0.1447,0.306,0.0523,0.26400000000000007,0.808,0.149,0.8800000000000001,0.9800000000000001,0.4782,0.8949999999999999,0.07420000000000002,0.000895,13.0,0.5999999999999999,17.0,14.0,3000.0,300.0,4.0,0.5649166666666666,1.0,5150.0
0.0,0.2,64025.4,110315.6,64047.6,9.5,4150.8,290884.2,578.9,4111.5,63835.4,0.0,58.7,153.5,4234.7,48.5,426.5,90.3,1.0,204.7,600.0,102654.57472180734,44065.19026328139,600.0,0.0828,0.7219999999999999,0.15440000000000004,0.257,0.274,0.513,0.9920000000000002,0.836,0.2698,0.999,0.1977,0.000416,17.0,0.4,24.0,4.0,3000.0,300.0,4.0,0.09895833333333334,1.0,2306.0
0.0,0.0,64396.1,110910.7,64407.9,1219.1,1.9,292724.8,3648.8,1.9,63644.9,0.0,196.4,566.6,2333.9,180.6,1540.0,745.5,1.0,248.7,517.9,107779.8517149775,47092.94626798963,600.0,0.055799999999999995,0.7190000000000001,0.15799999999999997,0.724,0.417,0.776,0.8629999999999999,0.761,0.024299999999999995,0.9149999999999998,0.3706,0.00051,10.0,0.4,24.0,10.0,3000.0,300.0,4.0,0.3584583333333333,1.0,416.0
0.0,0.0,59288.4,102108.2,59296.2,31.3,652.1,271297.0,1880.8,650.0,58525.4,0.0,202.9,567.9,2579.2,177.8,1055.7,987.3,1.0,259.8,600.0,106625.45447625328,46516.14860902651,600.0,0.0866,0.6820000000000002,0.11139999999999999,0.461,0.417,0.777,0.9559999999999998,0.8,0.6889000000000001,0.913,0.3559,0.0007150000000000001,8.0,0.29999999999999993,14.0,14.0,3000.0,300.0,4.0,0.25697916666666665,1.0,2575.0
0.0,0.0,60241.2,103642.5,60255.0,2.6,2480.9,274180.9,976.0,2466.3,58601.3,0.0,436.3,1217.4,1541.0,299.4,1922.0,1037.6,1.0,252.1,600.0,107814.62033649956,46997.22451114784,600.0,0.059899999999999995,0.489,0.1031,0.119,0.7169999999999999,0.913,0.9800000000000001,0.9339999999999999,0.2527,0.9600000000000002,0.2839999999999999,0.000396,12.0,0.29999999999999993,15.0,11.0,3000.0,300.0,4.0,0.46279166666666666,1.0,699.0
0.0,0.0,59735.6,102748.7,59742.5,9.1,1466.3,273280.9,813.1,1459.7,58811.3,0.0,236.6,694.6,1885.2,133.7,1605.6,1175.5,1.0,216.8,600.0,106384.83053870087,46319.147820857776,600.0,0.06600000000000002,0.49099999999999994,0.13200000000000003,0.6609999999999999,0.434,0.7270000000000001,0.974,0.9339999999999999,0.7542,0.9389999999999998,0.1449,0.00027299999999999997,8.0,0.29999999999999993,29.0,18.0,3000.0,300.0,4.0,0.36235416666666664,1.0,973.0
0.0,0.0,73279.7,126393.2,73284.7,374.2,34.7,336864.6,2152.3,34.7,72544.1,0.0,201.3,539.3,3172.4,212.0,1062.3,353.3,1.0,212.4,594.4,106897.65199503212,46525.55611218799,600.0,0.05850000000000001,0.619,0.1453,0.4749999999999999,0.513,0.5280000000000001,0.8889999999999999,0.7350000000000001,0.5298999999999999,0.953,0.08609999999999998,0.0005250000000000001,17.0,0.5999999999999999,15.0,6.0,3000.0,300.0,4.0,0.2654791666666667,1.0,605.0
0.0,0.0,67414.3,116308.8,67422.9,79.9,1478.2,310205.6,857.3,1469.8,65695.8,0.0,457.3,1269.8,1965.0,137.3,1386.5,1311.2,1.0,261.5,600.0,105704.000434576,46118.70677318274,600.0,0.12620000000000003,0.25999999999999995,0.1061,0.761,0.43499999999999994,0.020999999999999998,0.9659999999999999,0.9410000000000001,0.15640000000000004,0.873,0.1632,0.000997,8.0,0.5,29.0,20.0,3000.0,300.0,4.0,0.31745833333333334,1.0,4299.0
0.0,0.0,60854.8,104776.9,60927.6,9178.4,821.7,265500.2,5934.5,812.1,58545.3,0.0,622.3,1760.0,1791.8,200.8,1562.4,1245.0,1.0,207.6,600.0,95029.13858648315,38495.82420165579,600.0,0.1132,0.266,0.0455,0.25199999999999995,0.752,0.179,0.8939999999999999,0.9719999999999999,0.1881,0.825,0.6815,0.000245,7.0,0.4,21.0,16.0,3000.0,300.0,4.0,0.36733333333333335,1.0,3653.0
0.0,0.0,72716.7,125444.0,72739.7,4927.3,12.7,327039.2,4800.8,12.7,69397.2,0.0,929.8,2412.7,1861.8,408.5,1477.1,1052.6,1.0,192.3,581.4,100806.62508950519,41915.320967850115,600.0,0.1607,0.383,0.0785,0.269,0.6340000000000001,0.524,0.8379999999999999,0.595,0.7103,0.9810000000000001,0.30860000000000004,0.00018700000000000002,15.0,0.5999999999999999,10.0,15.0,3000.0,300.0,4.0,0.39283333333333337,1.0,5872.0
0.0,0.1,50899.6,87474.9,50910.5,1359.1,20.7,229194.3,2838.3,20.7,50011.5,0.0,239.4,659.6,3204.0,88.3,1141.5,366.2,1.0,255.0,583.3,103072.68216439054,44454.760532660745,600.0,0.1375,0.356,0.1131,0.6449999999999999,0.31999999999999995,0.583,0.876,0.79,0.20949999999999996,0.8230000000000001,0.1872,0.000248,9.0,0.1,27.0,8.0,3000.0,300.0,4.0,0.25620833333333337,1.0,4838.0
0.0,0.0,51787.1,90926.2,52680.1,232558.3,3836.1,132.1,8387.3,3594.4,52591.9,0.0,22.2,66.0,4676.7,11.3,103.8,8.2,1.0,66.5,600.0,89187.0958246157,38668.282445109624,600.0,0.2077,0.647,0.0344,0.402,0.295,0.5149999999999999,0.8149999999999998,0.7729999999999999,0.6594,0.8930000000000001,0.7747,9.4e-05,6.0,0.4,26.0,1.0,3000.0,300.0,4.0,0.02397916666666667,0.8055892176064503,7598.0
0.0,0.0,53445.4,91907.7,53459.1,2876.8,128.7,240054.4,2966.1,128.1,51380.1,0.0,550.0,1529.0,1416.8,302.3,1603.8,1477.1,1.0,225.6,600.0,98277.68343636901,41679.33650235997,600.0,0.20129999999999998,0.8089999999999999,0.07909999999999999,0.667,0.35700000000000004,0.348,0.9120000000000001,0.8550000000000001,0.335,0.826,0.47689999999999994,0.000347,5.0,0.2,11.0,14.0,3000.0,300.0,4.0,0.39710416666666665,1.0,7377.0
0.0,0.0,62367.4,107580.2,62498.4,2105.9,4649.7,276931.2,4726.0,4552.0,60479.3,0.0,532.2,1486.9,2057.7,217.5,1684.0,840.8,1.0,234.3,600.0,100019.664273082,40698.04140701478,600.0,0.1014,0.38,0.0417,0.215,0.7,0.607,0.9879999999999999,0.707,0.2846000000000001,0.9439999999999997,0.7638,0.00043,14.0,0.4,21.0,11.0,3000.0,300.0,4.0,0.3961458333333333,1.0,3036.0
