iter	Passed	Remaining
176	303	1409
177	304	1406
178	306	1405
179	307	1402
180	309	1399
181	310	1397
182	312	1395
183	314	1393
184	315	1391
185	317	1389
186	318	1386
187	320	1383
188	321	1381
189	323	1379
190	325	1377
191	326	1374
192	328	1372
193	330	1371
194	331	1369
195	333	1367
196	335	1365
197	337	1365
198	339	1365
199	340	1362
200	342	1362
201	344	1362
202	346	1360
203	347	1356
204	349	1353
205	350	1351
206	352	1349
207	353	1346
208	354	1343
209	356	1341
210	357	1338
211	359	1335
212	361	1334
213	364	1338
214	366	1337
215	368	1336
216	369	1334
217	371	1332
218	373	1331
219	375	1330
220	376	1328
221	378	1326
222	379	1323
223	381	1321
224	383	1319
225	384	1317
226	386	1316
227	388	1314
228	389	1312
229	391	1309
230	392	1307
231	394	1305
232	395	1302
233	397	1301
234	399	1299
235	400	1297
236	402	1294
237	403	1292
238	405	1290
239	406	1288
240	408	1285
241	409	1283
242	411	1280
243	412	1277
244	413	1275
245	415	1273
246	416	1270
247	418	1268
248	420	1267
249	421	1264
250	423	1263
251	424	1260
252	428	1264
253	430	1263
254	431	1261
255	433	1260
256	435	1258
257	437	1257
258	438	1255
259	440	1253
260	441	1251
261	443	1249
262	445	1247
263	446	1245
264	448	1243
265	449	1241
266	451	1239
267	453	1237
268	454	1235
269	456	1234
270	458	1232
271	459	1230
272	461	1228
273	462	1226
274	464	1224
275	465	1222
276	467	1221
277	469	1218
278	470	1216
279	472	1214
280	473	1212
281	475	1210
282	477	1208
283	478	1207
284	480	1205
285	481	1203
286	483	1201
287	485	1200
288	486	1197
289	490	1201
290	492	1199
291	493	1197
292	495	1196
293	497	1193
294	498	1191
295	500	1190
296	502	1189
297	504	1187
298	505	1185
299	507	1184
300	509	1182
301	511	1181
302	512	1179
303	514	1178
304	516	1176
305	517	1173
306	519	1172
307	520	1170
308	522	1168
309	524	1167
310	526	1165
311	527	1163
312	529	1161
313	531	1160
314	532	1158
315	533	1155
316	535	1153
317	537	1152
318	539	1151
319	540	1149
320	542	1148
321	544	1146
322	545	1144
323	547	1142
324	549	1141
325	551	1140
326	554	1141
327	556	1140
328	558	1138
329	559	1135
330	561	1133
331	562	1132
332	564	1130
333	565	1127
334	567	1126
335	569	1124
336	570	1122
337	572	1120
338	574	1119
339	575	1117
340	577	1115
341	578	1113
342	580	1111
343	581	1109
344	583	1107
345	585	1105
346	586	1103
347	588	1101
348	589	1099
349	591	1097
350	592	1095
351	594	1093
352	595	1091
353	597	1090
354	599	1088
355	600	1086
356	602	1084
357	603	1082
358	605	1081
359	607	1079
360	608	1077
361	610	1075
362	611	1073
363	613	1071
364	614	1069
365	615	1067
366	617	1065
367	618	1063
368	620	1061
369	622	1059
370	623	1056
371	624	1054
372	626	1052
373	627	1050
374	631	1053
375	633	1051
376	635	1049
377	636	1047
378	638	1045
379	639	1043
380	641	1041
381	642	1039
382	644	1038
383	645	1036
384	647	1034
385	648	1032
386	650	1030
387	652	1028
388	653	1026
389	655	1024
390	656	1022
391	658	1020
392	659	1018
393	661	1016
394	662	1014
395	664	1012
396	665	1011
397	667	1009
398	668	1007
399	670	1005
400	672	1003
401	673	1002
402	675	1000
403	677	999
404	678	997
405	680	995
406	681	993
407	683	991
408	685	989
409	686	987
410	688	986
411	689	984
412	691	983
413	695	984
414	696	982
415	698	980
416	700	978
417	701	976
418	703	975
419	704	973
420	706	971
421	708	969
422	709	967
423	711	966
424	712	964
425	714	962
426	716	960
427	717	959
428	719	957
429	720	955
430	722	953
431	724	952
432	725	950
433	727	948
434	729	947
435	730	945
436	732	943
437	734	942
438	735	940
439	737	938
440	738	936
441	740	934
442	741	932
443	743	930
444	744	928
445	746	926
446	747	925
447	749	923
448	751	921
449	752	920
450	754	918
451	758	919
452	760	918
453	762	917
454	764	916
455	766	914
456	768	913
457	770	911
458	772	910
459	774	908
460	775	906
461	777	905
462	779	903
463	781	902
